(19,26,1319)
(20,32,1620)
(10,15,760)
(3,48,2403)
(14,37,1864)
(3,15,753)
(31,20,1031)
(24,9,474)
(10,46,2310)
(41,39,1991)
(48,15,798)
(47,20,1047)
(34,30,1534)
(4,22,1104)
(47,23,1197)
(11,19,961)
(41,0,41)
(25,32,1625)
(35,32,1635)
(19,28,1419)
(5,1,55)
(35,17,885)
(46,5,296)
(27,42,2127)
(21,42,2121)
(40,10,540)
(10,21,1060)
(49,12,649)
(25,11,575)
(24,46,2324)
(7,49,2457)
(6,7,356)
(27,31,1577)
(43,48,2443)
(32,34,1732)
(36,0,36)
(21,9,471)
(41,25,1291)
(3,35,1753)
(0,30,1500)
(26,3,176)
(47,44,2247)
(18,7,368)
(16,45,2266)
(16,42,2116)
(10,25,1260)
(0,44,2200)
(14,8,414)
(5,25,1255)
(45,28,1445)
(29,45,2279)
(40,26,1340)
(18,44,2218)
(21,33,1671)
(39,33,1689)
(31,38,1931)
(44,24,1244)
(20,0,20)
(28,25,1278)
(32,23,1182)
(46,20,1046)
(48,49,2498)
(25,9,475)
(5,26,1305)
(12,20,1012)
(15,9,465)
(19,21,1069)
(10,36,1810)
(34,23,1184)
(44,13,694)
(27,45,2277)
(49,34,1749)
(18,16,818)
(38,3,188)
(47,10,547)
(21,1,71)
(49,2,149)
(20,33,1670)
(44,23,1194)
(21,19,971)
(42,41,2092)
(13,34,1713)
(42,9,492)
(20,45,2270)
(6,3,156)
(1,36,1801)
(7,2,107)
(32,40,2032)
(36,15,786)
(40,2,140)
(48,36,1848)
(18,40,2018)
(25,4,225)
(19,37,1869)
(48,28,1448)
(31,3,181)
(43,35,1793)
(20,3,170)
(33,24,1233)
(41,37,1891)
(3,12,603)
(9,22,1109)
(41,11,591)
(35,15,785)
(34,15,784)
(17,4,217)
(21,7,371)
(46,36,1846)
(0,23,1150)
(16,25,1266)
(36,43,2186)
(49,46,2349)
(35,4,235)
(37,37,1887)
(13,5,263)
(41,12,641)
(13,14,713)
(46,1,96)
(26,22,1126)
(31,23,1181)
(40,47,2390)
(18,22,1118)
(28,21,1078)
(16,38,1916)
(28,0,28)
(26,31,1576)
(44,9,494)
(45,23,1195)
(10,1,60)
(27,25,1277)
(23,3,173)
(0,18,900)
(31,11,581)
(46,3,196)
(44,26,1344)
(8,8,408)
(14,35,1764)
(45,30,1545)
(12,42,2112)
(24,38,1924)
(23,37,1873)
(40,17,890)
(35,39,1985)
(17,1,67)
(41,2,141)
(11,3,161)
(32,9,482)
(46,28,1446)
(28,31,1578)
(38,18,938)
(37,49,2487)
(23,8,423)
(20,22,1120)
(34,22,1134)
(3,36,1803)
(22,0,22)
(7,16,807)
(21,45,2271)
(1,25,1251)
(4,8,404)
(36,13,686)
(7,32,1607)
(29,32,1629)
(45,47,2395)
(34,13,684)
(29,2,129)
(17,38,1917)
(43,25,1293)
(2,25,1252)
(7,22,1107)
(49,32,1649)
(8,36,1808)
(24,24,1224)
(40,21,1090)
(30,33,1680)
(10,28,1410)
(42,8,442)
(2,7,352)
(14,19,964)
(16,30,1516)
(7,20,1007)
(32,49,2482)
(3,23,1153)
(1,31,1551)
(17,16,817)
(34,8,434)
(22,13,672)
(24,36,1824)
(12,44,2212)
(34,3,184)
(4,32,1604)
(10,0,10)
(36,22,1136)
(0,48,2400)
(20,24,1220)
(9,6,309)
(49,41,2099)
(44,2,144)
(43,33,1693)
(37,11,587)
(36,14,736)
(0,47,2350)
(48,6,348)
(42,19,992)
(18,14,718)
(44,46,2344)
(28,22,1128)
(28,8,428)
(35,24,1235)
(26,0,26)
(38,49,2488)
(22,20,1022)
(7,21,1057)
(25,6,325)
(17,39,1967)
(35,21,1085)
(24,42,2124)
(39,6,339)
(28,32,1628)
(28,48,2428)
(40,32,1640)
(16,9,466)
(8,30,1508)
(8,3,158)
(13,40,2013)
(40,44,2240)
(0,29,1450)
(44,30,1544)
(19,46,2319)
(30,31,1580)
(39,37,1889)
(25,42,2125)
(49,24,1249)
(31,27,1381)
(24,16,824)
(47,28,1447)
(15,11,565)
(15,5,265)
(30,29,1480)
(38,46,2338)
(25,23,1175)
(11,12,611)
(21,21,1071)
(5,30,1505)
(48,18,948)
(45,39,1995)
(10,48,2410)
(5,38,1905)
(10,39,1960)
(3,47,2353)
(13,23,1163)
(44,45,2294)
(36,36,1836)
(22,38,1922)
(26,7,376)
(42,37,1892)
(39,44,2239)
(5,9,455)
(38,15,788)
(49,45,2299)
(40,8,440)
(13,6,313)
(15,29,1465)
(32,12,632)
(17,3,167)
(48,32,1648)
(35,1,85)
(47,4,247)
(8,39,1958)
(44,36,1844)
(40,12,640)
(12,41,2062)
(35,7,385)
(42,35,1792)
(48,41,2098)
(2,43,2152)
(37,24,1237)
(42,18,942)
(45,33,1695)
(19,27,1369)
(32,8,432)
(46,18,946)
(14,11,564)
(38,28,1438)
(16,1,66)
(19,9,469)
(1,6,301)
(12,21,1062)
(32,21,1082)
(42,16,842)
(43,30,1543)
(19,12,619)
(0,35,1750)
(27,12,627)
(22,33,1672)
(22,31,1572)
(24,2,124)
(17,49,2467)
(37,10,537)
(12,2,112)
(12,37,1862)
(24,6,324)
(14,4,214)
(15,47,2365)
(8,23,1158)
(3,40,2003)
(15,7,365)
(46,21,1096)
(32,6,332)
(23,17,873)
(47,26,1347)
(48,8,448)
(4,42,2104)
(22,2,122)
(14,21,1064)
(27,44,2227)
(8,32,1608)
(22,39,1972)
(46,32,1646)
(23,48,2423)
(7,14,707)
(25,21,1075)
(11,35,1761)
(46,9,496)
(3,7,353)
(2,1,52)
(21,28,1421)
(13,27,1363)
(31,21,1081)
(41,41,2091)
(32,25,1282)
(35,49,2485)
(45,9,495)
(19,39,1969)
